店舗名,電話番号,都道府県,市区町村,番地,建物名,URL,SSL
隠れ処 六文銭(ろくもんせん)研究学園駅前店,050-5488-3617,茨城県,つくば市研究学園五丁目,13-4,わいわいビル1F,https://gj6v200.gorp.jp/,True
個室ビストロ FULLMOoN 新橋虎ノ門店,050-5810-9578,東京都,港区西新橋一丁目,23-9,河野ビル,https://ghuf001.gorp.jp/,True
八海山公認 個室居酒屋 越後酒房 東京駅八重洲店,050-5485-8337,東京都,中央区八重洲一丁目,4-10,東京建物八重洲仲通りビル6F,https://e295811.gorp.jp/,True
個室×創作居酒屋 海坊主五反田駅前店,080-1296-9295,東京都,品川区西五反田二丁目,7-8,誠實ビル7F,https://gjke600.gorp.jp/,True
全席個室ダイニング 忍家 宇都宮駅東口店,050-5485-7902,栃木県,宇都宮市東宿郷一丁目,5-11,,https://shinobuya-uhigashiguchi.gorp.jp/,True
チャイニーズレストラン 凛,050-5487-4887,神奈川県,横須賀市若松町三丁目,12,平成若松ビル1～2F,https://gj4w300.gorp.jp/,True
刈谷個室居酒屋 福わうち 刈谷駅前店,050-5489-1077,愛知県,刈谷市桜町二丁目,2,桜町ビル3F,https://nbpy403.gorp.jp/,True
個室 肴と地酒 456酒場 新橋店,050-5488-5528,東京都,港区新橋三丁目,23-1,TRN新橋2F,https://ggxm420.gorp.jp/,True
個室居酒屋 四季邸 豊橋店,050-5486-1705,愛知県,豊橋市広小路一丁目,38,杉浦ビル1F,https://nccv800.gorp.jp/,True
梅田個室居酒屋 和菜美 ‐wasabi‐ 大阪駅前店,050-5487-4682,大阪府,大阪市北区芝田一丁目,3-1,ギャザ阪急4F,https://kef1500.gorp.jp/,True
【駅徒歩30秒】貸切パーティー 酒場 みんぞう 大宮駅前店,050-5488-7964,埼玉県,さいたま市大宮区大門町一丁目,6,2F,https://party-wedding.gnavi.co.jp/site/2/gjd9401/,True
完全個室多数 名古屋地鶏 金鯱酒場 豊田駅前店,050-5485-0891,愛知県,豊田市若宮町七丁目,5-2,misonoビル1~2F,https://n169659.gorp.jp/,True
和牛ステーキ RIPPLE(リップル),050-5487-2297,沖縄県,中頭郡北谷町字美浜,9-21,デポアイランドシーサイドビル5F,https://party-wedding.gnavi.co.jp/site/2/fbx9502/,True
神戸夜景 ビアガーデン×BBQ ROOFTOP TERRACE 三宮本店,050-5494-4986,兵庫県,神戸市中央区北長狭通一丁目,5-1,ニュー光陽ビル7F,https://kdvv501.gorp.jp/,True
【完全個室】食べ飲み放題 焼鳥 寿司 なごや劇場 名古屋駅前店,050-5485-0492,愛知県,名古屋市中村区名駅三丁目,14-6,コレクトマーク名駅3丁目,,False
炉端焼と朝引き鶏 小鉄,06-6632-1145,大阪府,大阪市中央区難波三丁目,1-18,,https://osakaizakaya-kotetsu.gorp.jp/,True
全席個室 じぶんどき 品川港南口店,050-2018-8872,東京都,港区港南二丁目,5-14,カナーレ品川,,False
ワイワイ酒場 へそ 京都店,050-5487-3488,京都府,京都市下京区真苧屋町,197,ブーケガルニビル4F,https://keey700.gorp.jp/,True
全席個室 ウメ子の家 日本橋八重洲店,050-2018-8852,東京都,中央区日本橋二丁目,3-18,江間忠さくらビル3F,,False
プーケットオリエンタル日比谷,050-5492-6991,東京都,千代田区有楽町一丁目,1-2,東京ミッドタウン日比谷2F,https://gjr0000.gorp.jp/,True
